log_id,tester_id,entry_date,indication,solution,detector,solved_date
1058,160,5/31/2016 16:43,yllapitohuolto,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu, kaikki probet vaihdettu, kovalevy varmuuskopioitu. DC measuring board Takaya 9000/4D1 viallinen, tilattu uusi Testline / UK:sta",M. Kallio / A.Alakiuttu,5/31/2016 16:43
844,160,5/31/2016 16:43,yllapitohuolto,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu, kaikki probet vaihdettu, kovalevy varmuuskopioitu. DC measuring board Takaya 9000/4D1 viallinen, tilattu uusi Testline / UK:sta",M. Kallio / A.Alakiuttu,5/31/2016 16:43
1057,595,5/31/2016 16:42,yllapitohuolto,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu, probet #1 ja #2 vaihdettu, kovalevy varmuuskopioitu ",M. Kallio / A.Alakiuttu,5/31/2016 16:42
843,595,5/31/2016 16:42,yllapitohuolto,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu, probet #1 ja #2 vaihdettu, kovalevy varmuuskopioitu ",M. Kallio / A.Alakiuttu,5/31/2016 16:42
1056,160,5/27/2016 9:25,"DC-CC moodin vastusmittausongelma jatkuu, lisaa n. 2,5 ohmia mittauksiin satunnaisesti ja aiheuttaa faileja pienemmille vastuksille. ","Vika paikallistettu kortille DC measurement card (9000-4D1). Kortista mitattu kaikki res, cap, ind, diod, vikaa kortista ei loydy. Uusi kortti hankittava, kyselty Testlinelta.",M. Kallio,5/27/2016 9:25
842,160,5/27/2016 9:25,"DC-CC moodin vastusmittausongelma jatkuu, lisaa n. 2,5 ohmia mittauksiin satunnaisesti ja aiheuttaa faileja pienemmille vastuksille. ","Vika paikallistettu kortille DC measurement card (9000-4D1). Kortista mitattu kaikki res, cap, ind, diod, vikaa kortista ei loydy. Uusi kortti hankittava, kyselty Testlinelta.",M. Kallio,5/27/2016 9:25
1055,595,5/27/2016 9:18,probet #3 ja #4 poikki ja pidikkeet vaantyneet kieroon,"testaaja laittanut vahingossa korkeakomponenttisen levyn vaarin pain koneeseen ja probet osuneet komponentteihin, vaihdettu probet ja pidikkeet",M. Kallio,5/27/2016 9:18
841,595,5/27/2016 9:18,probet #3 ja #4 poikki ja pidikkeet vaantyneet kieroon,"testaaja laittanut vahingossa korkeakomponenttisen levyn vaarin pain koneeseen ja probet osuneet komponentteihin, vaihdettu probet ja pidikkeet",M. Kallio,5/27/2016 9:18
1054,628,5/25/2016 9:21,"Testaus tapahtunut bia-sarnolla DLD61661407 T32009.04...00, vaikka tarkoitus testata HP1-sarnolla, josta valiaik tarra kiinni levyssa. HP1-sarno pitaa tallentaa tuotteen epromiin. Tuote jai kiinni loppukoonnan linkityspaikalla.",HP161661407 sarno talletettu eprommiin manager-ohjelmalla. Testerilla jatkossa HP1-sarno kauempana bia-tarrasta. Estaa lukijan vahinkoluvun. Ohjeistettu tekijaa. Pyydetty testerivastaavaa pohtimaan mahd estaa bia-testaus koodissa. ,Jouni Huttunen,5/25/2016 9:21
840,628,5/25/2016 9:21,"Testaus tapahtunut bia-sarnolla DLD61661407 T32009.04...00, vaikka tarkoitus testata HP1-sarnolla, josta valiaik tarra kiinni levyssa. HP1-sarno pitaa tallentaa tuotteen epromiin. Tuote jai kiinni loppukoonnan linkityspaikalla.",HP161661407 sarno talletettu eprommiin manager-ohjelmalla. Testerilla jatkossa HP1-sarno kauempana bia-tarrasta. Estaa lukijan vahinkoluvun. Ohjeistettu tekijaa. Pyydetty testerivastaavaa pohtimaan mahd estaa bia-testaus koodissa. ,Jouni Huttunen,5/25/2016 9:21
800,595,3/14/2016 15:50,Tos 3 Cognex Card vaihdettu PC koneeseen,"Tuli kuntoon, kamerakortin temppuilu ja testerin kaatuilu loppui. vanha kortti lahetetty Testlinelle.",M. Kallio,3/14/2016 15:50
1014,595,3/14/2016 15:50,Tos 3 Cognex Card vaihdettu PC koneeseen,"Tuli kuntoon, kamerakortin temppuilu ja testerin kaatuilu loppui. vanha kortti lahetetty Testlinelle.",M. Kallio,3/14/2016 15:50
790,595,2/25/2016 15:49,"Probe 2 moved to illegal area Y -2, virheilmoitus tulee jokaiselle yksikolle","Y akselin optiseen anturiin oli valunut vaseliinia jostain mekaniikasta, eika se toiminut kunnolla,irrotettu ja ""pesty"" alkoi toimia.",M. Kallio,2/25/2016 15:49
1004,595,2/25/2016 15:49,"Probe 2 moved to illegal area Y -2, virheilmoitus tulee jokaiselle yksikolle","Y akselin optiseen anturiin oli valunut vaseliinia jostain mekaniikasta, eika se toiminut kunnolla,irrotettu ja ""pesty"" alkoi toimia.",M. Kallio,2/25/2016 15:49
789,595,2/24/2016 17:30,Testeri kaatuilee levyn puolta kaannettaessa (Probe UP) tai debuggeria kaynnistaesa satunnaisesti ja kadottaa kamerakortin,"Kysytty neuvoja Testline:lta, joka valitti Takayalta vikaehdotuksia, kokeiltu vaihtaa PC:n poweri, ei auta. Tilataan uusi TOS-3 kortti",M. kallio,2/24/2016 17:30
1003,595,2/24/2016 17:30,Testeri kaatuilee levyn puolta kaannettaessa (Probe UP) tai debuggeria kaynnistaesa satunnaisesti ja kadottaa kamerakortin,"Kysytty neuvoja Testline:lta, joka valitti Takayalta vikaehdotuksia, kokeiltu vaihtaa PC:n poweri, ei auta. Tilataan uusi TOS-3 kortti",M. kallio,2/24/2016 17:30
967,595,12/1/2015 14:35,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu ","levelointia hienosaadetty, probet 1# ja #4 vaihdettu, kovaleysta otettu image verkkoon",M.Kallio,12/1/2015 14:35
753,595,12/1/2015 14:35,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu ","levelointia hienosaadetty, probet 1# ja #4 vaihdettu, kovaleysta otettu image verkkoon",M.Kallio,12/1/2015 14:35
966,160,12/1/2015 14:34,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu ","levelointia hienosaadetty, probet #1 ja #4 vaihdettu, kovalevysta otettu varmuuskopio verkkoon",M.Kallio,12/1/2015 14:34
752,160,12/1/2015 14:34,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu ","levelointia hienosaadetty, probet #1 ja #4 vaihdettu, kovalevysta otettu varmuuskopio verkkoon",M.Kallio,12/1/2015 14:34
964,160,11/18/2015 7:38,"Testeri jumii kesken testin satunnaisesti jumiuttamalla probejen kiskot kesken liikkeen ja antaa virheen The tester is now suspended as the safety system operated ! - Remove the cause of the suspension, then depress Reset SW.","Tarkastettu kaikki liikeradat, anturit ja turvakytkinten toiminnallisuus, vikaa ei loytynyt niista. Vaihdettu lopulta turvarelepaketti koneeseen, joka oireillut aiemminkin mm. reset napin osalta, vika nayttaisi poistuneen. ",M.Kallio,11/18/2015 7:38
750,160,11/18/2015 7:38,"Testeri jumii kesken testin satunnaisesti jumiuttamalla probejen kiskot kesken liikkeen ja antaa virheen The tester is now suspended as the safety system operated ! - Remove the cause of the suspension, then depress Reset SW.","Tarkastettu kaikki liikeradat, anturit ja turvakytkinten toiminnallisuus, vikaa ei loytynyt niista. Vaihdettu lopulta turvarelepaketti koneeseen, joka oireillut aiemminkin mm. reset napin osalta, vika nayttaisi poistuneen. ",M.Kallio,11/18/2015 7:38
953,595,9/23/2015 12:50,Nappaimisto lakkasi toimimasta,"PC:n nappisportti hajonnut, nappis liitetty USB vaylaan, alkoi toimia",M.Kallio,9/23/2015 12:50
739,595,9/23/2015 12:50,Nappaimisto lakkasi toimimasta,"PC:n nappisportti hajonnut, nappis liitetty USB vaylaan, alkoi toimia",M.Kallio,9/23/2015 12:50
943,160,7/15/2015 13:27,"Testeri juminut kesken testin, koko testeri buutattu. Buutin jalkeen probe #2 tikkaa mihin sattuu.",Master file vioittunut koneen kaatumisen yhteydessa. Kalibrointiarvot probelta #4 kopioituneet probelle #2. Tehty Admin moodilla machine reference point setup.,M.Kallio,7/15/2015 13:27
729,160,7/15/2015 13:27,"Testeri juminut kesken testin, koko testeri buutattu. Buutin jalkeen probe #2 tikkaa mihin sattuu.",Master file vioittunut koneen kaatumisen yhteydessa. Kalibrointiarvot probelta #4 kopioituneet probelle #2. Tehty Admin moodilla machine reference point setup.,M.Kallio,7/15/2015 13:27
929,160,6/9/2015 9:20,"Testerisoftan kaatumisen jalkeen ei pysty enaa testata ollenkaan, valikot harmaana. Buutti ei auta, tilanne pysyy samana. Softa ei ota yhteytta testerille.","Workstation moodi mennyt paalle. Sen saa pois menemalla Admin tunnuksilla koneelle. Valitaan Mode -> O.mode, otetaan ruksi pois ruudusta Workstatin mode.",M.Kallio,6/9/2015 9:20
715,160,6/9/2015 9:20,"Testerisoftan kaatumisen jalkeen ei pysty enaa testata ollenkaan, valikot harmaana. Buutti ei auta, tilanne pysyy samana. Softa ei ota yhteytta testerille.","Workstation moodi mennyt paalle. Sen saa pois menemalla Admin tunnuksilla koneelle. Valitaan Mode -> O.mode, otetaan ruksi pois ruudusta Workstatin mode.",M.Kallio,6/9/2015 9:20
917,595,5/26/2015 12:49,"kalibrointihuolto, jatkoa....",kaikki 4 probea vaihdettu uusiin,M.Kallio,5/26/2015 12:49
703,595,5/26/2015 12:49,"kalibrointihuolto, jatkoa....",kaikki 4 probea vaihdettu uusiin,M.Kallio,5/26/2015 12:49
916,595,5/26/2015 12:48,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu ","kovalevysta otettu image, ohjelmat varmuuskopioitu",M.Kallio,5/26/2015 12:48
702,595,5/26/2015 12:48,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu ","kovalevysta otettu image, ohjelmat varmuuskopioitu",M.Kallio,5/26/2015 12:48
915,160,5/26/2015 12:47,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu ","2D lukijan kaapeli oli irti, kiinnitetty ja lisatty vedonpoisto. Kovalevysta otettu image, ohjelmat varmuuskopioitu.",M.Kallio,5/26/2015 12:47
701,160,5/26/2015 12:47,"testeri huollettu, puhdistettu, rasvattu ja kalibroitu ","2D lukijan kaapeli oli irti, kiinnitetty ja lisatty vedonpoisto. Kovalevysta otettu image, ohjelmat varmuuskopioitu.",M.Kallio,5/26/2015 12:47
910,160,5/6/2015 9:45,"Testeri mittaa edelleen vastuksia vaarin, lisaa n. 2 ohmia mittauksiin ja antaa faileja erityisesti pienemmille vastuksille 0 ohm --> 10 ohm. joissa ei ole isot raja arvot. Valilla toimii ja valilla alkaa tehda virheita.","Testerin etupaneeli irrotettu, alkoi hetken paasta toimia ja arvot romivat kohdilleen, paneelin kiinnityksen jalkeen alkoi n. 2 tunnin kayton jalkeen virheilla uudelleen, arvot ryomivat ylospain. Luultavasti joku kuumenemis onmgelma, seurataan...",M.Kallio,5/6/2015 9:45
696,160,5/6/2015 9:45,"Testeri mittaa edelleen vastuksia vaarin, lisaa n. 2 ohmia mittauksiin ja antaa faileja erityisesti pienemmille vastuksille 0 ohm --> 10 ohm. joissa ei ole isot raja arvot. Valilla toimii ja valilla alkaa tehda virheita.","Testerin etupaneeli irrotettu, alkoi hetken paasta toimia ja arvot romivat kohdilleen, paneelin kiinnityksen jalkeen alkoi n. 2 tunnin kayton jalkeen virheilla uudelleen, arvot ryomivat ylospain. Luultavasti joku kuumenemis onmgelma, seurataan...",M.Kallio,5/6/2015 9:45
909,595,5/5/2015 13:42,"Kone ei ala testata ollenkaan, probe 2 moved to illegal area Y -2, virheilmoitus tulee jokaiselle yksikolle.","Y akselin anturin kaapeli irti kokokaan, kiinnityksen jalkeen alkoi toimia",M.Kallio,5/5/2015 13:42
695,595,5/5/2015 13:42,"Kone ei ala testata ollenkaan, probe 2 moved to illegal area Y -2, virheilmoitus tulee jokaiselle yksikolle.","Y akselin anturin kaapeli irti kokokaan, kiinnityksen jalkeen alkoi toimia",M.Kallio,5/5/2015 13:42
690,160,3/26/2015 10:40,"Testeri mittaa valilla resistanssia vaarin, lisaa n. 2 ohmia mittauksiin, jolloin pienemmat vastukset antavat failia.",Probet kuluneet. Vaihdettu kaikki probet ja niiden kaapelit. Tehty Maintenance chekit ja master calibrointi - OK. Nayttais toimivan nyt paremmin.,M.Kallio,3/26/2015 10:40
689,595,3/12/2015 13:36,testeri antaa suuren maaran faileja ja lakkaa mittaamasta serial fail stoppiin,"probe #4 oli juminut yla-asentoon, iskee tuotteessa liittimeen, probe vaihdettu, softaa muutettu ok.",M.Kallio,3/12/2015 13:36
688,160,3/11/2015 8:36,"Testeri virheilee satunnaisesti, mittauksissa, mittaustulos nayttaa valilla mita sattuu ja valilla toimii","Probe #1 kaapeli oli poikki, vaihdettu",M.Kallio,3/11/2015 8:36
682,595,12/19/2014 11:57,Piirilevyn asettelukiskojen saatomekanismin lukitusvipu rikki,"kiristinvivun lukitusruuvista menneet kierteet, metalliverstaalla tehty uudet kierteet ja vaihdettu isompi kiristysruuvi vipuun. OK",M.Kallio,12/19/2014 11:57
677,595,11/27/2014 7:43,Asennettu Flying Probe ATP-8400C testeri. Taysin huollettu ja kalibroitu Englannissa.,Takaya 8400CE serial no. 96100233,TESTLINE / Martin Hamilton,11/27/2014 7:43
676,160,11/27/2014 7:41,"Testeri huollettu, puhdistettu, rasvattu ja kalibroitu kattavasti TESTLINE yhtion toimesta.","cd asema vaihdettu, muistia lisattu pc yht 2 GB, kameranautto vaihdettu flat monitoriksi, convertteri lisatty, kovalevylta otettu image.",TESTLINE / Martin Hamilton,11/27/2014 7:41
637,160,8/6/2014 9:53,kalibrointi ja yllapitohuolto,"Havaitut viat: CD asema ei toimi PC:ssa, vaihdettava. Turvarele oireilee edelleen, tilataan varaosa.  probet #1 ja #4 vaihdettu.Testausohjelmat varmuuskopioitu verkkoon. ",M.Kallio,8/6/2014 9:53
636,160,8/6/2014 9:46,yllapito,Testihuolto suoritettu,web,8/6/2014 9:46
633,160,7/31/2014 6:26,"Testeri lakkasi toimimasta, ei hyvaksy reset napin painallusta vaan pyytaa sita luupissa, releen naksaus ei kuulu nappia painettaessa, kaikki seftestit menee pass","vinkkeja vianhakuun saatiin Testlinelta ja Takayalta, selvitettiin saatujen ohjeiden ja kytkentakaavioiden avulla vika joka oli lopulta safety relay unit modulissa, jossa rele K1 ei toiminut. Moduli irrotettiin ja paikallistettin vika B1 liitospinnan huonoon kontaksiin etulevy-piirilevy, putsaus,kasaus -- alkoi toimia. ",M.Kallio & P.Simonen,7/31/2014 6:26
626,160,7/18/2014 15:19,IQ vaatimuksen mukainen flaikkari-asennuksen suoritus,"Kayttojannite mitattu. fpt leveloitu, ohjekirjat tarkistettu, varaosalista paivitetty. IQ kaavakkeet taytetty.",M.Kallio,7/18/2014 15:19
562,160,1/24/2014 8:56,yllapito,Testihuolto suoritettu,web,1/24/2014 8:56
516,160,9/24/2013 11:53,heti testin alussa vetaa probet jumiin ja tulee ilmoitus: Interf. protect SW is working between 3-axis and 4-axis,"Anturi irrotettu ja putsattu, alkoi toimia.",M. Kallio,9/24/2013 11:53
498,160,7/15/2013 10:29,Kalibrointi ja yllapitohuolto,"mekaaniset osat tarkastettu: havaittu vika: kannen avausmekanismin vaimentimesta ruuvi irti ja toinen loysalla, kiristetty ja lisattu lukituslakkaa. Varmuuskopiot ohjelmista otettu verkkoon. ",M.Kallio,7/15/2013 10:29
496,160,7/15/2013 10:23,yllapito,Testihuolto suoritettu,web,7/15/2013 10:23
471,160,3/14/2013 10:20,"Probe #3 moved to illegal area, hajonnut iltavuorossa, mikaan testaus ei toimi, virhe tulee heti kaynnistettaessa testia ja laite iskee resetin paalle","probe #3 Y akselin kaapeli kokonaan irti liitoksesta, luultavasti joku takin-hiha tms tarttunut testaajalla ja repaissyt kaapelin irti. Liitetty uudelleen ja varmistettu nippusiteella, alkoi toimia",M. Kallio,3/14/2013 10:20
470,160,3/5/2013 17:25,ongelma Jumiongelma jatkuu,Kysytty neuvoa ja vinkkeja kaikilta. Jani Koppelo saatiin paikalle. Tutkinnan jalkeen ohjelmistosta loytyi vaara moodi. Moodiksi oli laitettu tai mennyt Workstation mode. Raksin poisto ruudusta toi testaus nappulat takaisin kayttoon ja laite ohjautui suoraan reset tilaan. Tutkinnassa vioittunut probe vaihdettu. Kokeiltu levylla ja testi toimii. Vaatii tod nak probekalibroinnin.,Jouni Huttunen,3/5/2013 17:25
469,160,3/5/2013 17:22,"ongelma Testeri totaalisesti jumissa, roikuttaa probeja, ei veda niita ylos, eika aja perusasentoihinsa, vaikka resetoi. Ohjelma pitaa mm test-painikkeita harmaana eli eivat ole kaytettavissa. PCU emergency ledi palaa itse laitteessa.","Tutkittu virransyotot, siirretty kasin probet perusasentoon, kokeiltu, etta proben asentotunnistimet vaikuttavat punaisiin merkkiledeihin suojakannen alle, samassa rivissa kuin PCU emergency, tarkastettu suojakopan vaikutus merkkiledeihin. Useita kertoja startattu seka laite etta pc ja ohjelma ihan alusta.",Jouni Huttunen,3/5/2013 17:22
449,160,11/27/2012 14:11,"Interf. protect SW is working between 1-axis and 2-axis ! ---> Iskee tuotteella suojamoodin paalle aina samassa testi-stepissa, aiemmin on toiminut samalla softalla, valissa on ajettu toista tuotetta.","probe 1 karki oli poikki, ja laite oli kalibroitu uudelleen tuotteelle kierolla levylla, jolloin arvot menneet pieleen, vaihdettu probe 1 uuteen ja kalibroitu neulat uudelleen tasaisella levylla --> OK",M. Kallio,11/27/2012 14:11
446,160,11/27/2012 10:22,Iltavuorossa alkanut tekemaan jatkuvaa resettia heti testin alussa ja antanut virhetta: 3 probe moved to illegal area Y -2 --> testaaja kokeillut mm. buutata koko laitteen tuloksetta,Testaaja huomannut laitteen oikealla sivustalla olevan kaapelin olevan irti liitoksestaan. Kiinnityksen jalkeen laite on alkanut toimia. Liitoksen pitavyys varmistettu aamulla nippusiteella.,Marjo Pinola  / M. Kallio,11/27/2012 10:22
443,160,11/26/2012 15:48,5,Testihuolto_Lisatty time tauluun,Jouni Huttunen,11/26/2012 15:48
427,160,11/23/2012 13:16,Antaa ilmoitusta: --> Measuring system error on Probe - 4 Please check self-diagnosis. <-- Mittaus pysahtyy ja suojamoodi menee paalle,"Probe 4:n mittauskaapeli oli kulunut ja siina nakyi kuparointi, vaihdettu uusi kaapeli ja probe. Mahdollisesti aiheuttanut vikatilanteen osuessaan runkoon mittauksen aikana. ",M. Kallio,11/23/2012 13:16
415,160,11/8/2012 13:24,Kalibrointi ja yllapitohuolto (jatkoa...),"mekaaniset osat tarkastettu, kaikki liukukiskot ja liikkuvat osat oljytty rasvanipoista tai suoraan kiskoon. neula #3 vaihdettu (katkesi huollon aikana), kone kalibroitu.",M. Kallio ja Kone&laitehuolto,11/8/2012 13:24
414,160,11/8/2012 11:43,"Kalibrointi ja yllapitohuolto suoritettu, ohjelmat varmuuskopioitu","havaittu vika: Kaasujouset huonokuntoiset, kansi ei pysy kunnolla auki. Varaosia ei saatavilla, joten rakennettu erityyppisista kaasujousista uudet tilalle. Toimii.",M. Kallio,11/8/2012 11:43
373,160,8/13/2012 12:40,"Kone veti jumiin jo testin alussa, pysayttaen probet ja antoi virheilmoituksen: Interface Protection SW is working between 1-axis and 2-axis. Bootti ei auta.","1 proben neulan kalibrointi-arvot nayttivat mita sattuu. Luultavasti testauksella vahinkossa hiiri klikannut arvoja softaa ladatessa ja vahingossa muutettu arvot, jotka olivat useamman sentin pielessa probe1:n osalta. --> Kalibroitu uudelleen, tallennettu --> toimii.",M. Kallio,8/13/2012 12:40
354,160,7/18/2012 10:30,Testeri kytketty UPS-virransyottoon.,Testeri kytketty UPS-virransyottoon.,PSi,7/18/2012 10:30
338,160,7/3/2012 16:31,Lisaantynyt maara OPEN mittavirheita useammalla tuotteella,"4 proben karki oli poikki, vaihdettu --> OK",M. Kallio,7/3/2012 16:31
322,160,5/23/2012 14:02,Suuri maara virheita testissa,"Probe 1 hirttanyt kiinni, neula juminut pohja asentoon, neula vaihdettu --> OK",M.Kallio,5/23/2012 14:02
315,160,4/24/2012 12:56,Mittauksissa useita virheita kaikilla korteilla,"3 proben karki oli poikki n.1 millin matkalta, vaihdettu uusi probe --> OK",M.Kallio,4/24/2012 12:56
313,160,4/24/2012 12:37,"2 probe; mittavirhetta, mittasi mm. 5,7 ohm --> 7,1 Ohm. Kokeiltu vaihtaa probea (p2 --> p3,p1,p4) toimi oikein",vaihdettu seka probe etta mittauskaapeli --> OK,M.Kallio,4/24/2012 12:37
314,160,4/24/2012 12:37,10.3.2012,"laitteen pohjalla irrallinen ristipainen ruuvi, paikkaa mista ruuvi mahdollisesti irti ei loydy. (laitteessa on torx ruuvit) irrallinen ruuvi saattaa olla jostain tuotteesta irronnut.",M.Kallio,4/24/2012 12:37
312,160,4/24/2012 12:36,"22.2.2012 - 1 ja 4 probe toleranssiheittoa, vaikka laitteen neulat kalibroi eivat ne osu kohdalle muutaman testauksen jalkeen","sama vika samoilla neuloilla kuin aiemmin, poytaa vasten pyorittaessa vemppaa n. 0.5 -1 millin heittoa vaihdettu molemmat uuteen. Asiaa tutkittu ja havaittu neulojen vaantymisella yhteys ETP-A kortin testaukseen. Tutkittu kortti ja huomattu etta korttien testi alunperin tehty ilman liittimia, kokoojilla ohjeet ok. mutta eivat aina muista olla laittamatta liittimia ennen fpt:ta... Liittimien ollessa paikoillaan kortissa, vaantaa se 1 ja 4 neuloja vinoon. Korjattu ohjelmaan mittapisteet ongelmatap",M.Kallio,4/24/2012 12:36
310,160,4/24/2012 12:35,"12.1.2011 - 2 probe moved to illegal area ja valilla 2 probe moved to illegal area Y -2, antaa satunnaisesti kaikilla testattavilla korteilla ko. virheita","edelleen samaa vikaa esiintyy satunnaisesti, vika paikallistettu master moden testimoodilla, Y akselin etummaiseen anturiin, irrotettu anturi laitteesta, puhdistettu, anturin piirilevylla olevassa liittimessa 1 liintinpinta hieman vinossa, oikaistu ja juotettu uudelleen kiinni. Vastaliittimesta kiristetty holkkeja paremman kontaktin saamiseksi --> vika nayttaisi nyt poistuneen.",M.Kallio,4/24/2012 12:35
311,160,4/24/2012 12:35,5.1.2012,"koneen kovalevylta siivottu turhat ohjelmat pois, otettu varmuuskopio ohjelmista verkkoon",M.Kallio,4/24/2012 12:35
309,160,4/24/2012 12:34,"5.12.2011 - testaajan mukaan testauksen aikana tullut joku vikatilanne laitteeseen, ja probe 2 oli mennyt kokonaan poikki lisaksi koko proben pidike oli haljennut kahteen osaan",vikatilanteeseen ei loytynyt selitysta laitteen logista (mitaan ei ollut kirjautunut logiin) eika laitteen mekaniikasta loytynyt mitaan vikaa/selitysta asialle. Probe ja pidike vaihdettu uuteen --> OK,M.Kallio,4/24/2012 12:34
307,160,4/24/2012 12:33,"20.11.2011 - 1 probe mittaa valilla vaaria arvoja kaikilla tuotteilla, valilla toimii ok. ","proben kaapeli oli hiukikulunut yhdesta kohtaa, kuparointi paistoi hieman lapi ja osui valilla laitteen (proben jalan) runkoon, aiheuttaen signaalin maadoittumisen --> kaapeli vaihdettu uuteen --> OK",M.Kallio,4/24/2012 12:33
308,160,4/24/2012 12:33,"18.11.2011 - 1 probe ei osu kohdalle vaikka laitteen kalibroi, niin neula ei osu muutaman testauksen jalkeen oikeaan kohtaan","1 neula kiero (taas), vaikka on reilu viikko sitten vaihdettu uusi neula, luultavasti jokin testattava kortti aiheuttaa neulan vioittumisen. Seurataan tilannetta.... Vaihdon jalkeen nyt kuitenkin OK",M.Kallio,4/24/2012 12:33
305,160,4/24/2012 12:32,"8.11.2011 - 1 ja 4 probe toleranssiheittoa, vaikka laitteen neulat kalibroi eivat ne osu kohdalle","neulat kieroja, poytaa vasten pyorittaessa vemppaa n. 0.5 -1 millin heittoa vaihdettu molemmat --> kalibroitu master calib, resetoitu laskurit --> OK",M.Kallio,4/24/2012 12:32
306,160,4/24/2012 12:32,"5.10.2011 - 2 probe moved to illegal area Y -2, antaa satunnaisesti kaikilla testattavilla korteilla ko. Virhetta","vikaa ilmenee edelleen harvakseltaan, syyta ei loydy, kokeiltu vaihtaa neula, kaapeli, kalibroitu ja valoanturit 2 proben osalta irrotettu ja puhdistettu. Laite toimii OK, mutta antaa satunnaisesti ko. vikatilannetta edelleen",M.Kallio,4/24/2012 12:32
304,160,4/24/2012 12:31,"28.9.2011 - neulojen kalibrointi ei onnistu, kameran kuva ei ole stabiili, ja on lisaksi epatarkka","kamera oli irti liitoksestaan,  kiristetty ja neulat kalibroitu uudelleen -- > OK",M.Kallio / M.Piri,4/24/2012 12:31
303,160,4/24/2012 12:30,"20.11.2011 - 2 probe moved to illegal area Y -2, antaa satunnaisesti kaikilla testattavilla korteilla ko. virhetta","vikaa ei loydetty, P2 Y akselin anturi kaapelin kapistelyn ja bootin jalkeen nayttaisi kuitenkin toimivan",M.Kallio / M.Piri,4/24/2012 12:30
301,160,4/24/2012 12:29,9.9.2011 - Kameran kuva suttuinen ja kuvan paalla menee lumisateen tapaista hairiosignaalia tai pitkittaisia viivoja,kameran kaapeli oli irti,M.Kallio / P.Simonen,4/24/2012 12:29
302,160,4/24/2012 12:29,"20.8.2011 - 4 probe iskee resettia koneelle, probe moved to illegal area, ennenkuin testi lahtee tekemaan edes mitaan mittausta",4 proben y akselin valo-anturin kaapeli oli irti,M.Kallio,4/24/2012 12:29
300,160,4/24/2012 12:28,"16.7.2011 flaikkari lyo safety switchia paalle satunnaisesti testauksien aikana, probe3 moved to illegal area ja FPT menee resettiin, master calibrointia ei saatu suoritettua sama vikatila katkaisi laitteen toiminnan neulojen kalibroinnissa (master mode) probe 3:n kohdalla","probe 3 oli kiero, poytaa vasten pyoritettaessa n. 1mm. Toleranssiheitto (vemppaa) proben karjessa. Neula vaihdettu uuteen --> master calib PASS",M.Kallio,4/24/2012 12:28
299,160,4/24/2012 12:27,1.7.2011,"Kalibroitu flaikkari, vaihdettu kaikki probet 4kpl. Resetoitu laskurit,kovalevysta otettu varmuuskiopio image",M.Kallio / M.Piri,4/24/2012 12:27
